time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/clip_fraction,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/value_loss,train/learning_rate,train/clip_range,train/approx_kl,eval/mean_reward,eval/mean_ep_length
149504,73,118,-9.86940574,620.84,1256,9.765625e-05,720,-4.459088116884232,-0.003520352963823825,0.936585322022438,0.25012898445129395,2.4808561064302923,3e-05,0.1,0.000541899,,
150000,,,,,,0.0,730,-4.4445436775684355,-0.0014719700207933783,0.9157098531723022,0.21845048666000366,0.8443916827440262,3e-05,0.1,0.0001365454,-1.3987950563430787,587.6
151552,74,119,-9.748268809999999,617.56,1267,,,,,,,,,,,,
153600,75,120,-10.288181179999999,619.45,1273,0.001025390625,740,-4.467635697126388,-0.0033967707451665772,0.9034402519464493,0.4800753891468048,1.1146711098030209,3e-05,0.1,0.00055067474,,
155648,76,121,-11.007082239999999,625.63,1278,0.00224609375,750,-4.4399598121643065,-0.002715290030755568,0.9035156965255737,0.45827317237854004,1.0037799179553986,3e-05,0.1,0.0005233862,,
157696,77,122,-10.851044429999996,631.24,1283,0.0,760,-4.453994989395142,-0.0004068938986165449,0.3843628168106079,38.423301696777344,35.3302677065134,3e-05,0.1,3.9289764e-05,,
159744,78,123,-10.811615350000002,630.1,1288,0.00380859375,770,-4.452236199378968,-0.003951779549242929,0.934256337583065,0.03304152935743332,0.35764479245990516,3e-05,0.1,0.0007760222,,
160000,,,,,,0.002880859375,780,-4.4639470994472505,-0.002862710476620123,0.854896605014801,0.5056253671646118,1.380694653838873,3e-05,0.1,0.0004939948,-15.123210239410401,730.4
161792,79,124,-10.904869180000002,632.62,1301,,,,,,,,,,,,
163840,80,125,-10.84689588,627.34,1306,0.0138671875,790,-4.476664912700653,-0.0051848141243681315,0.5386715531349182,0.12457413971424103,0.4098934196867049,3e-05,0.1,0.001272459,,
165888,81,126,-11.68191984,630.45,1312,0.0,800,-4.457523918151855,-0.002461513874004595,0.8924294263124466,0.16850769519805908,0.8099663443863392,3e-05,0.1,0.0002871115,,
167936,82,127,-11.816209149999997,641.89,1317,0.0,810,-4.439618867635727,-0.00044700539438053967,0.3091204762458801,4.914103031158447,31.79948693215847,3e-05,0.1,2.3907545e-05,,
169984,83,128,-12.190427360000001,649.03,1322,0.005810546875,820,-4.454335707426071,-0.003544846641307231,0.9370939284563065,0.3992170989513397,0.7833664266392588,3e-05,0.1,0.0006816278,,
170000,,,,,,0.001708984375,830,-4.432835042476654,-0.0031690576870460063,0.9507091902196407,0.17797161638736725,0.5108172569423914,3e-05,0.1,0.00076442084,-30.493457221984862,733.2
172032,84,128,-12.84201118,658.91,1335,,,,,,,,,,,,
174080,85,129,-13.034466180000003,662.22,1340,0.0,840,-4.452672958374023,-0.00204943841235945,0.8919825255870819,0.8384220004081726,2.6240458335727452,3e-05,0.1,0.00015821538,,
176128,86,130,-12.626421650000003,664.28,1345,0.019970703125,850,-4.441618174314499,-0.006936021859291941,0.8281785398721695,0.02692466974258423,0.2510870749130845,3e-05,0.1,0.0016981405,,
178176,87,131,-13.004205070000005,670.37,1350,0.0,860,-4.439976078271866,-0.0027571768150664866,0.9106300547719002,0.18741530179977417,1.2733022522181272,3e-05,0.1,0.00053449016,,
180000,,,,,,0.001123046875,870,-4.437523329257965,-0.0021326901958673263,0.932212121784687,0.33663058280944824,0.9039293769747019,3e-05,0.1,0.0004154849,-8.11844185590744,718.6
180224,88,132,-12.972303530000003,672.3,1363,,,,,,,,,,,,
182272,89,133,-12.316990270000002,678.12,1368,0.007275390625,880,-4.440208697319031,-0.0036220874259015544,0.9456738494336605,0.13942725956439972,1.082545393332839,3e-05,0.1,0.0007818515,,
184320,90,134,-14.343245370000002,685.26,1373,0.087109375,890,-4.429336875677109,-0.007638047193177044,0.7134677767753601,-0.015698060393333435,0.058765582367777826,3e-05,0.1,0.0027769278,,
186368,91,135,-13.583265480000001,683.4,1379,0.0,900,-4.444445168972015,-0.00020288733358029277,0.07932436466217041,20.24124526977539,70.30681775808334,3e-05,0.1,3.261189e-05,,
188416,92,136,-14.13051855,674.95,1384,0.0029296875,910,-4.446157169342041,-0.003388317080680281,0.8187619000673294,0.022783786058425903,0.6114113232120871,3e-05,0.1,0.0007190913,,
190000,,,,,,0.0,920,-4.438676708936692,-0.0016512870497535914,0.9026358723640442,2.438157796859741,2.9461424708366395,3e-05,0.1,0.00016670086,-6.549303579330444,506.0
190464,93,136,-14.597832890000001,682.14,1394,,,,,,,,,,,,
192512,94,137,-14.546135319999998,686.98,1399,0.0,930,-4.445784485340118,-0.0019234309525927528,0.7154721915721893,0.3171722888946533,1.2429724954068662,3e-05,0.1,0.0002628078,,
194560,95,138,-14.339688390000001,694.33,1404,0.000927734375,940,-4.448397076129913,-0.0029678928287466986,0.9405026026070118,0.3107602894306183,0.7524057542905211,3e-05,0.1,0.00038751905,,
196608,96,139,-15.9552864,697.45,1409,0.00576171875,950,-4.437435072660446,-0.00391091754718218,0.9218693301081657,0.015836164355278015,0.24642393570393323,3e-05,0.1,0.0009368345,,
198656,97,140,-15.455618450000001,694.63,1414,0.0,960,-4.441304993629456,-9.144539362750947e-05,0.05907595157623291,32.226558685302734,69.24856028556823,3e-05,0.1,1.8881954e-05,,
200000,,,,,,0.01015625,970,-4.453798741102219,-0.005585223069647327,0.5827116072177887,0.409900963306427,0.6863696318119764,3e-05,0.1,0.0012220547,-24.776131057739256,616.0
200704,98,140,-15.151102980000001,690.13,1426,,,,,,,,,,,,
202752,99,141,-15.137755360000002,690.2,1431,0.00546875,980,-4.439607679843903,-0.003429895776207559,0.8638243228197098,0.11635783314704895,0.5855220410972833,3e-05,0.1,0.0006768585,,
204800,100,142,-14.88095179,690.05,1436,0.0,990,-4.446208435297012,-0.00028852150571765376,0.28191936016082764,23.048934936523438,34.61061338484287,3e-05,0.1,2.3654895e-05,,
206848,101,143,-15.05965359,690.25,1441,0.001123046875,1000,-4.452230954170227,-0.0031303352647228167,0.8585470169782639,0.059611160308122635,0.2964143608696759,3e-05,0.1,0.0006457648,,
208896,102,144,-14.927997010000004,676.67,1446,0.0,1010,-4.439931094646454,-0.0009485307091381401,0.5893673598766327,42.88057327270508,39.07252686023712,3e-05,0.1,9.624424e-05,,
210000,,,,,,0.002490234375,1020,-4.452108240127563,-0.0036709790118038656,0.9073744267225266,0.1497279852628708,1.083753289654851,3e-05,0.1,0.00082037045,-53.032943153381346,782.4
210944,103,144,-14.684449859999999,684.2,1460,,,,,,,,,,,,
212992,104,145,-13.752703199999996,677.79,1465,0.00048828125,1030,-4.46363731622696,-0.002391022349183913,0.7534705996513367,0.24746082723140717,0.5214453243650496,3e-05,0.1,0.00054500333,,
215040,105,146,-13.565019260000001,677.48,1471,0.0,1040,-4.455768859386444,-0.0019954251154558735,0.7100018858909607,0.5030456185340881,1.7417517405003309,3e-05,0.1,0.00021529585,,
