time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,train/learning_rate,train/value_loss,train/loss,train/explained_variance,train/n_updates,train/approx_kl,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/clip_range,eval/mean_reward,eval/mean_ep_length
99,481,6.02206329,95.99,421,202752,3e-05,3.6316889837384223,0.7324216961860657,0.7787246704101562,980,0.00075456745,-2.973772755265236,0.0021484375,-0.0030159376561641692,0.1,,
100,485,8.56267403,94.98,421,204800,3e-05,3.9732134371995924,0.7363311052322388,0.7656152248382568,990,0.0005445066,-2.985278829932213,0.0005859375,-0.002891046556760557,0.1,,
101,490,8.964117469999998,93.84,421,206848,3e-05,3.6108671933412553,0.6409223079681396,0.7634426355361938,1000,0.000781965,-2.9546406239271166,0.003515625,-0.0034889350441517307,0.1,,
102,494,9.218449439999999,94.08,422,208896,3e-05,3.749667611718178,0.8453125357627869,0.7233881950378418,1010,0.0007630538,-3.0052874207496645,0.00166015625,-0.0027427883265772834,0.1,,
,,,,,210000,3e-05,2.5915182031691075,0.47457200288772583,0.7187880277633667,1020,0.0011061527,-2.9676602691411973,0.0025390625,-0.0037013734385254794,0.1,3.7721449702978136,95.2
103,500,9.11998221,92.85,421,210944,,,,,,,,,,,,
104,505,8.14486067,93.15,421,212992,3e-05,3.2761337265372275,0.630422830581665,0.7497064471244812,1030,0.0005981645,-2.9836998254060747,0.000341796875,-0.00263123627519235,0.1,,
105,509,8.43188087,94.09,421,215040,3e-05,2.5964842163026334,0.6171758770942688,0.7713263630867004,1040,0.0006527022,-2.9488908141851424,0.001513671875,-0.002401999561698176,0.1,,
106,514,7.73764882,95.38,422,217088,3e-05,2.1267957895994187,0.40505558252334595,0.8524487018585205,1050,0.001585949,-2.9792614042758943,0.012890625,-0.004642527792020701,0.1,,
107,518,8.65190612,95.35,422,219136,3e-05,2.1703159689903258,0.4165354371070862,0.5826772451400757,1060,0.0012822121,-2.9731847912073137,0.007421875,-0.004342956353502814,0.1,,
,,,,,220000,3e-05,2.8281026922166346,0.511821985244751,0.8199983835220337,1070,0.0011098885,-2.982557886838913,0.003857421875,-0.0036409527325304224,0.1,9.646427822113036,86.8
108,524,10.23877655,96.32,421,221184,,,,,,,,,,,,
109,528,9.786174039999999,95.83,422,223232,3e-05,2.4909263633191587,0.7019495368003845,0.8433531522750854,1080,0.0011209591,-2.9771125823259355,0.007177734375,-0.004215638877940364,0.1,,
110,533,8.786927590000003,95.21,422,225280,3e-05,2.642862690985203,0.6031305193901062,0.7967216968536377,1090,0.00081197347,-2.977176010608673,0.000390625,-0.003469037386821583,0.1,,
111,537,8.67966774,93.96,422,227328,3e-05,3.587066702544689,0.7225360870361328,0.7663911581039429,1100,0.0006083885,-2.981092795729637,0.00029296875,-0.0025854829989839347,0.1,,
112,542,7.339387800000001,94.9,422,229376,3e-05,2.812483873963356,0.5303546190261841,0.7982355356216431,1110,0.0007925583,-2.9824214935302735,0.000244140625,-0.003506175527581945,0.1,,
,,,,,230000,3e-05,3.171359670162201,0.8984867930412292,0.8279324769973755,1120,0.0007330055,-2.969127821922302,0.001123046875,-0.003456268398440443,0.1,5.05579594373703,101.6
113,547,7.020289959999999,94.71,422,231424,,,,,,,,,,,,
114,552,7.772580379999999,95.19,422,233472,3e-05,3.339613674581051,0.6259543895721436,0.8752737045288086,1130,0.0004970725,-2.9708275884389876,0.000244140625,-0.0021979349228786306,0.1,,
115,557,8.64064244,94.76,422,235520,3e-05,3.8383547380566596,0.8349665403366089,0.7917286157608032,1140,0.0004663267,-2.979349580407143,0.000146484375,-0.002759908538428135,0.1,,
116,561,8.357905310000001,96.11,422,237568,3e-05,3.4652414813637735,0.5813064575195312,0.7623298168182373,1150,0.00039722165,-2.9245393216609954,4.8828125e-05,-0.0016455471777589992,0.1,,
117,566,9.5483074,95.5,423,239616,3e-05,4.4529005825519565,0.9758532047271729,0.8161337375640869,1160,0.0005723074,-2.9618231654167175,0.0013671875,-0.00301463509676978,0.1,,
,,,,,240000,3e-05,2.9768651008605955,0.6199666857719421,0.7380276918411255,1170,0.0011907369,-2.934567338228226,0.00478515625,-0.00403382916119881,0.1,12.499097752571107,92.4
118,571,9.41111381,95.59,422,241664,,,,,,,,,,,,
