time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/entropy_loss,train/loss,train/n_updates,train/clip_fraction,train/explained_variance,train/approx_kl,train/value_loss,eval/mean_reward,eval/mean_ep_length
2786,-3.1758066300000003,98,200704,67.36,72,,,,,,,,,,,,
2790,-2.7896599299999996,99,202752,66.88,72,-0.008660518001124728,0.0003,0.2,-1.0575979461893439,0.38013067841529846,980,0.1310546875,0.8128921389579773,0.009307107,1.8869727762416004,,
2793,-3.67046218,100,204800,67.45,73,-0.008409223658964038,0.0003,0.2,-1.0807940619066359,0.5829561948776245,990,0.124609375,0.846936047077179,0.013344292,1.9570159431546927,,
2796,-3.1361372500000004,101,206848,66.93,73,-0.008114630538329948,0.0003,0.2,-1.064364890009165,0.41915082931518555,1000,0.0849609375,0.6857295632362366,0.007058327,2.8352282576262953,,
2800,-3.6533889800000003,102,208896,66.93,74,-0.006527664458553772,0.0003,0.2,-1.0635399887338282,2.20674204826355,1010,0.088623046875,0.838967502117157,0.010549493,2.3429873451590537,,
,,,210000,,,-0.006711224590253551,0.0003,0.2,-1.089761476032436,0.6568458080291748,1020,0.091455078125,0.7937226891517639,0.010302119,2.1675562553107737,1.2693451166152954,67.8
2803,-3.21344862,103,210944,67.72,75,,,,,,,,,,,,
2808,-4.25262876,104,212992,68.08,75,-0.009223054546600907,0.0003,0.2,-1.0906218061223627,0.662546694278717,1030,0.115380859375,0.8473508954048157,0.010699891,2.4192993946373464,,
2811,-4.04916728,105,215040,67.15,76,-0.0037915313889243405,0.0003,0.2,-1.0601378474384546,0.7085789442062378,1040,0.057177734375,0.8443109393119812,0.0071369326,1.9647533988580108,,
2815,-4.072605190000001,106,217088,67.08,77,-0.008863272640883223,0.0003,0.2,-1.081094298698008,1.0570645332336426,1050,0.1130859375,0.7514408826828003,0.009745566,2.700155932083726,,
2818,-4.026616590000001,107,219136,67.32,77,-0.006943099072668701,0.0003,0.2,-1.0662462366744876,0.7730818390846252,1060,0.098388671875,0.7598596215248108,0.009159675,2.2594663385301827,,
,,,220000,,,-0.007306734834855888,0.0003,0.2,-1.0726706275716424,0.3988109230995178,1070,0.114208984375,0.7930489182472229,0.009870699,1.7554589540697634,-1.0369564056396485,67.2
2822,-3.6796722400000004,108,221184,67.96,78,,,,,,,,,,,,
2825,-4.35960888,109,223232,68.41,79,-0.0070346665117540395,0.0003,0.2,-1.048201299831271,0.708736777305603,1080,0.095068359375,0.8763813376426697,0.008127877,1.999890530668199,,
2828,-3.93892143,110,225280,68.35,79,-0.011137502094788943,0.0003,0.2,-1.0550753228366374,0.37062007188796997,1090,0.118212890625,0.772365927696228,0.010112222,2.233750308305025,,
2832,-4.44024598,111,227328,68.43,80,-0.006405785753304372,0.0003,0.2,-1.0107737263664602,0.6162153482437134,1100,0.06962890625,0.7600818276405334,0.0074300254,2.946627924218774,,
2835,-3.971597640000001,112,229376,68.07,80,-0.007232105544244405,0.0003,0.2,-1.0092717524617911,0.7044274210929871,1110,0.087060546875,0.8331512212753296,0.008688999,2.837423745729029,,
,,,230000,,,-0.007278852639137768,0.0003,0.2,-0.9794437577947974,0.5576918721199036,1120,0.088671875,0.7361201643943787,0.009763805,2.6145853616297243,-6.707262182235718,69.6
2839,-3.94307807,113,231424,68.2,81,,,,,,,,,,,,
2842,-3.6658605099999995,114,233472,68.5,82,-0.010237561908434145,0.0003,0.2,-0.9872448552399874,0.8497441411018372,1130,0.11357421875,0.7995883226394653,0.01111922,2.5295947274193167,,
2846,-3.593949669999999,115,235520,68.44,82,-0.006872180760547053,0.0003,0.2,-1.0404821971431375,0.4187852442264557,1140,0.118017578125,0.8835338950157166,0.013821526,1.5067528706043958,,
2849,-3.92329002,116,237568,68.19,83,-0.008457976436329773,0.0003,0.2,-1.0373583264648913,0.6219867467880249,1150,0.123046875,0.8382461071014404,0.010265812,2.0242314537987114,,
2852,-3.9341052400000005,117,239616,69.06,83,-0.007609269035310717,0.0003,0.2,-1.0671611733734607,0.7484142184257507,1160,0.091162109375,0.7788621187210083,0.008061148,2.59384701307863,,
