time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/entropy_loss,train/loss,train/n_updates,train/clip_fraction,train/explained_variance,train/approx_kl,train/value_loss,eval/mean_reward,eval/mean_ep_length
,,,230000,,,-0.006575235770287691,0.0003,0.2,-0.9325937889516354,1.8014804124832153,1120,0.05400390625,0.71185302734375,0.006756184,4.395092501863838,-4.88992657661438,68.4
402,-7.9710291799999995,113,231424,68.89,574,,,,,,,,,,,,
406,-7.43188006,114,233472,68.77,574,-0.005066116904345108,0.0003,0.2,-0.9246383676305413,0.6794133186340332,1130,0.10615234375,0.6869410276412964,0.011811484,3.9027292631566524,,
409,-7.988732230000002,115,235520,68.68,575,-0.010375247238698648,0.0003,0.2,-0.9679046275094152,0.9645830392837524,1140,0.111083984375,0.7276262044906616,0.0128866825,3.0070563636720182,,
412,-7.120378829999998,116,237568,67.83,575,-0.0066233825375093145,0.0003,0.2,-0.960072991065681,1.2233999967575073,1150,0.08896484375,0.7217522859573364,0.009803524,4.088803377002478,,
416,-7.00377969,117,239616,68.1,575,-0.0075055454493849535,0.0003,0.2,-0.9374222986400127,0.832240879535675,1160,0.128955078125,0.7678459882736206,0.014125692,3.4188956886529924,,
,,,240000,,,-0.003777938116400037,0.0003,0.2,-0.9459888501092791,0.8821722269058228,1170,0.115625,0.6949341297149658,0.009761925,3.222200880013406,-9.099244403839112,70.2
420,-6.69036192,118,241664,68.71,574,,,,,,,,,,,,
423,-6.109409489999999,119,243712,68.26,575,-0.007665601032203995,0.0003,0.2,-0.9128354873508215,0.596280574798584,1180,0.1375,0.7643859386444092,0.025987014,2.581712482869625,,
427,-6.095836839999999,120,245760,68.2,575,-0.0034055127456667834,0.0003,0.2,-0.8730031894519925,1.0088833570480347,1190,0.11328125,0.636963427066803,0.012910971,3.259683429263532,,
430,-5.65210992,121,247808,67.26,575,-0.002137585810851306,0.0003,0.2,-0.8435198707506061,0.8838252425193787,1200,0.13076171875,0.8085368871688843,0.01428058,2.3255781603977086,,
434,-5.589337939999998,122,249856,67.29,575,-0.006280147003417369,0.0003,0.2,-0.8553407212719322,0.9024085998535156,1210,0.089111328125,0.7505204677581787,0.01103576,3.197267980128527,,
,,,250000,,,-0.005184218783688266,0.0003,0.2,-0.9051114635542035,0.8506227731704712,1220,0.091064453125,0.8409913182258606,0.0097437715,2.8686732091009617,0.7653979301452637,65.4
438,-5.66877019,123,251904,67.36,575,,,,,,,,,,,,
441,-5.501020160000001,124,253952,67.54,575,-0.004586932401434751,0.0003,0.2,-0.8630580693483353,0.9318947196006775,1230,0.099267578125,0.8038719892501831,0.011493487,2.9616935109719633,,
444,-6.4659534500000015,125,256000,68.02,575,-0.004715977157320595,0.0003,0.2,-0.8812658583745361,2.1249892711639404,1240,0.080859375,0.6193052530288696,0.009102645,3.986635961011052,,
448,-6.126651819999999,126,258048,67.23,575,-0.007006297355110292,0.0003,0.2,-0.8461051942780614,0.5937877297401428,1250,0.083935546875,0.7830017805099487,0.010690258,3.223191367276013,,
,,,260000,,,-0.0029250121100631078,0.0003,0.2,-0.8619651015847921,0.5507760643959045,1260,0.1033203125,0.6919434070587158,0.009058269,2.814633624441922,-6.2916086375713345,69.6
452,-4.72450434,127,260096,66.91,575,,,,,,,,,,,,
455,-4.204188729999999,128,262144,67.63,575,-0.004359312432643492,0.0003,0.2,-0.8506145950406789,0.7683091163635254,1270,0.115771484375,0.7057347297668457,0.014788013,2.9458734702318905,,
459,-4.8131976100000005,129,264192,67.36,575,-0.005179047145065852,0.0003,0.2,-0.847055402584374,1.2854572534561157,1280,0.094482421875,0.6401073336601257,0.008163069,3.7972574960440397,,
462,-5.059902880000001,130,266240,67.9,575,-0.002627483178366674,0.0003,0.2,-0.8599087174981832,1.2911593914031982,1290,0.098681640625,0.524361252784729,0.012918731,3.1744866982102393,,
466,-4.657914270000001,131,268288,67.53,575,-0.006094928916718345,0.0003,0.2,-0.8829178750514984,1.2594270706176758,1300,0.082958984375,0.6311936378479004,0.009594819,3.7363006457686425,,
,,,270000,,,-0.004362275704625063,0.0003,0.2,-0.88905332647264,0.7202810049057007,1310,0.109228515625,0.6873197555541992,0.016147071,2.5534250790253283,-15.176449203491211,70.2
